FastqFileAcc	Target	ExperimentAcc	ExperimentAcc share the same Target	PeakType	BedFileAcc from the same ExperimentAcc
ENCFF923XLP	FOXK2	ENCSR861JUQ	ENCSR861JUQ	narrowPeak	ENCFF291AYM.bed,ENCFF014VXF.bed,ENCFF348PZF.bed,ENCFF870DSA.bed,ENCFF980KSV.bed
ENCFF027BOY	BCLAF1	ENCSR342THD	ENCSR000BJZ,ENCSR342THD	narrowPeak	ENCFF308RFY.bed,ENCFF747IZZ.bed,ENCFF015YHT.bed,ENCFF082QVO.bed,ENCFF222GJV.bed
ENCFF050IAW	TRIM22	ENCSR835XKS	ENCSR835XKS,ENCSR637QAM	narrowPeak	ENCFF543JOD.bed,ENCFF568AYW.bed,ENCFF350OGU.bed,ENCFF426XYB.bed,ENCFF899JBI.bed
ENCFF002XBK	JUNB	ENCSR897MMC	ENCSR897MMC	narrowPeak	ENCFF294GPL.bed,ENCFF332JOV.bed,ENCFF784PEF.bed,ENCFF939TZS.bed,ENCFF236WSQ.bed
ENCFF000NYY	REST	ENCSR000BGF	ENCSR000BGF,ENCSR000BQS	narrowPeak	ENCFF562ZXJ.bed,ENCFF022KXM.bed,ENCFF632AEM.bed,ENCFF936XYD.bed,ENCFF048JKT.bed
ENCFF000OFM	SRF	ENCSR000BGE	ENCSR000BGE	narrowPeak	ENCFF002CHW.bed,ENCFF339GTZ.bed,ENCFF972PDN.bed,ENCFF613VCR.bed,ENCFF593FGJ.bed,ENCFF199WGD.bed
ENCFF500QDP	CBX3	ENCSR549NPZ	ENCSR549NPZ	narrowPeak	ENCFF685NUU.bed,ENCFF069WNS.bed,ENCFF607ZXG.bed,ENCFF981HQF.bed,ENCFF141LEI.bed
ENCFF304NDL	BMI1	ENCSR469WII	ENCSR469WII	narrowPeak	ENCFF809PXE.bed,ENCFF159QMJ.bed,ENCFF827JSS.bed,ENCFF626WXN.bed,ENCFF089KCX.bed
ENCFF012SGZ	H3K4me3	ENCSR057BWO	ENCSR057BWO,ENCSR000AKA,ENCSR000DRY	narrowPeak	ENCFF238AYS.bed,ENCFF460VIH.bed,ENCFF656JPY.bed,ENCFF295GNH.bed
ENCFF000WAB	NFYB	ENCSR000DNM	ENCSR000DNM	narrowPeak	ENCFF001VEV.bed,ENCFF002CPC.bed
ENCFF525YYN	CBX3	ENCSR549NPZ	ENCSR549NPZ	narrowPeak	ENCFF685NUU.bed,ENCFF069WNS.bed,ENCFF607ZXG.bed,ENCFF981HQF.bed,ENCFF141LEI.bed
ENCFF000OHV	ZBTB33	ENCSR000BHC	ENCSR000BHC	narrowPeak	ENCFF002CID.bed
ENCFF000WAK	RELA	ENCSR000EAG	ENCSR000EAG	narrowPeak	ENCFF001VET.bed,ENCFF002CPA.bed
ENCFF000WAO	EP300	ENCSR000DZD	ENCSR000BHB,ENCSR000DZG,ENCSR000DZD	narrowPeak	ENCFF001VEX.bed,ENCFF002CPE.bed
ENCFF000WAM	EP300	ENCSR000DZD	ENCSR000BHB,ENCSR000DZG,ENCSR000DZD	narrowPeak	ENCFF001VEX.bed,ENCFF002CPE.bed
ENCFF000OHD	USF1	ENCSR000BGI	ENCSR000BGI	narrowPeak	ENCFF002CIB.bed,ENCFF518BAN.bed,ENCFF083HDR.bed,ENCFF238JYT.bed,ENCFF859GUL.bed,ENCFF805GKD.bed
ENCFF000WAV	EP300	ENCSR000DZG	ENCSR000BHB,ENCSR000DZG,ENCSR000DZD	narrowPeak	ENCFF001VEY.bed,ENCFF002CPF.bed
ENCFF000OHH	YY1	ENCSR000BNP	ENCSR000EUM,ENCSR000BNP	narrowPeak	ENCFF002CIC.bed
ENCFF000WAZ	NRF1	ENCSR000DZO	ENCSR000DZO	narrowPeak	ENCFF001VEW.bed,ENCFF002CPD.bed
ENCFF000WAX	EP300	ENCSR000DZG	ENCSR000BHB,ENCSR000DZG,ENCSR000DZD	narrowPeak	ENCFF001VEY.bed,ENCFF002CPF.bed
ENCFF000OHN	USF1	ENCSR000BGI	ENCSR000BGI	narrowPeak	ENCFF002CIB.bed,ENCFF518BAN.bed,ENCFF083HDR.bed,ENCFF238JYT.bed,ENCFF859GUL.bed,ENCFF805GKD.bed
ENCFF000OHO	YY1	ENCSR000BNP	ENCSR000EUM,ENCSR000BNP	narrowPeak	ENCFF002CIC.bed
ENCFF249RTD	IKZF1	ENCSR441VHN	ENCSR874AFU,ENCSR441VHN,ENCSR000EUJ	narrowPeak	ENCFF413ANK.bed,ENCFF526LHJ.bed,ENCFF963HCJ.bed,ENCFF809OOE.bed
ENCFF804QYW	MLLT1	ENCSR552XSN	ENCSR552XSN	narrowPeak	ENCFF657OOK.bed,ENCFF966NTL.bed,ENCFF942NGM.bed,ENCFF881VZH.bed,ENCFF173KPE.bed
ENCFF000WHR	ZZZ3	ENCSR000DNQ	ENCSR000DNQ	narrowPeak	ENCFF001VFV.bed,ENCFF002CPY.bed
ENCFF791SQR	H3K4me3	ENCSR057BWO	ENCSR057BWO,ENCSR000AKA,ENCSR000DRY	narrowPeak	ENCFF238AYS.bed,ENCFF460VIH.bed,ENCFF656JPY.bed,ENCFF295GNH.bed
ENCFF490CJS	IRF5	ENCSR976TBC	ENCSR976TBC	narrowPeak	ENCFF341MQJ.bed,ENCFF863BUI.bed,ENCFF877SBO.bed,ENCFF127WGD.bed,ENCFF100ERQ.bed
